nilai_tugas,nilai_uts,nilai_uas,kehadiran,lulus
85,80,88,95,1
78,75,80,90,1
90,88,92,98,1
65,60,70,80,1
55,50,58,70,0
40,45,50,60,0
70,68,72,85,1
82,79,85,92,1
48,52,45,65,0
60,58,62,78,1
35,40,38,55,0
88,90,86,96,1
72,70,75,88,1
50,48,52,68,0
95,92,94,99,1
42,38,44,58,0
68,65,70,82,1
58,55,60,75,0
80,78,82,90,1
45,42,48,62,0
75,73,78,89,1
38,35,40,52,0
92,89,90,97,1
62,60,65,80,1
52,50,55,70,0
30,32,35,48,0
85,83,87,94,1
70,72,68,86,1
55,52,58,72,0
78,80,76,91,1
44,40,46,60,0
90,91,88,98,1
66,64,68,83,1
48,45,50,66,0
82,80,84,93,1
36,38,34,50,0
74,76,72,88,1
58,60,56,76,0
88,86,90,95,1
40,42,38,58,0
